iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AIA,forestry-and-land-use,forest-land-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AIA,forestry-and-land-use,forest-land-fires,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AIA,forestry-and-land-use,forest-land-fires,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AIA,forestry-and-land-use,forest-land-fires,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,forestry-and-land-use,forest-land-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,259.96862000000004,,annual,,
ALA,forestry-and-land-use,forest-land-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,forestry-and-land-use,forest-land-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,45.82799700000001,,annual,,
ALA,forestry-and-land-use,forest-land-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,forestry-and-land-use,forest-land-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,350.8713300000001,,annual,,
ALA,forestry-and-land-use,forest-land-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,28.87739579999999,,annual,,
ALA,forestry-and-land-use,forest-land-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,28.87739579999999,,annual,,
ALA,forestry-and-land-use,forest-land-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,28.87739579999999,,annual,,
ALA,forestry-and-land-use,forest-land-fires,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,forestry-and-land-use,forest-land-fires,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALA,forestry-and-land-use,forest-land-fires,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ALB,forestry-and-land-use,forest-land-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,150527.86679702086,,annual,,
ALB,forestry-and-land-use,forest-land-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,114997.00272451098,,annual,,
ALB,forestry-and-land-use,forest-land-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,425247.10121343663,,annual,,
ALB,forestry-and-land-use,forest-land-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,42907.83877656405,,annual,,
ALB,forestry-and-land-use,forest-land-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,221523.00223508535,,annual,,
ALB,forestry-and-land-use,forest-land-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,123179.0738709714,,annual,,
ALB,forestry-and-land-use,forest-land-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,384239.4521669999,,annual,,
ALB,forestry-and-land-use,forest-land-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,352760.96524000005,,annual,,
ALB,forestry-and-land-use,forest-land-fires,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,34214.65652396663,,annual,,
ALB,forestry-and-land-use,forest-land-fires,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,22389.732,,annual,,
ALB,forestry-and-land-use,forest-land-fires,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AND,forestry-and-land-use,forest-land-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,37.453974,,annual,,
AND,forestry-and-land-use,forest-land-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AND,forestry-and-land-use,forest-land-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AND,forestry-and-land-use,forest-land-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AND,forestry-and-land-use,forest-land-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AND,forestry-and-land-use,forest-land-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AND,forestry-and-land-use,forest-land-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AND,forestry-and-land-use,forest-land-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AND,forestry-and-land-use,forest-land-fires,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AND,forestry-and-land-use,forest-land-fires,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
AND,forestry-and-land-use,forest-land-fires,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARE,forestry-and-land-use,forest-land-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARE,forestry-and-land-use,forest-land-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARE,forestry-and-land-use,forest-land-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARE,forestry-and-land-use,forest-land-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARE,forestry-and-land-use,forest-land-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARE,forestry-and-land-use,forest-land-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARE,forestry-and-land-use,forest-land-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARE,forestry-and-land-use,forest-land-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARE,forestry-and-land-use,forest-land-fires,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARE,forestry-and-land-use,forest-land-fires,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARE,forestry-and-land-use,forest-land-fires,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARG,forestry-and-land-use,forest-land-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,5235751.319614246,,annual,,
ARG,forestry-and-land-use,forest-land-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,9672636.576223966,,annual,,
ARG,forestry-and-land-use,forest-land-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,10169310.964307375,,annual,,
ARG,forestry-and-land-use,forest-land-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,6363227.245567168,,annual,,
ARG,forestry-and-land-use,forest-land-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,5841634.228328089,,annual,,
ARG,forestry-and-land-use,forest-land-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,27579079.083395854,,annual,,
ARG,forestry-and-land-use,forest-land-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,7636252.807516973,,annual,,
ARG,forestry-and-land-use,forest-land-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,48137484.15176222,,annual,,
ARG,forestry-and-land-use,forest-land-fires,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,10891049.57012257,,annual,,
ARG,forestry-and-land-use,forest-land-fires,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,8101572.35408,,annual,,
ARG,forestry-and-land-use,forest-land-fires,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARM,forestry-and-land-use,forest-land-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,68985.55731769018,,annual,,
ARM,forestry-and-land-use,forest-land-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,14346.48864014353,,annual,,
ARM,forestry-and-land-use,forest-land-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,40114.01027540133,,annual,,
ARM,forestry-and-land-use,forest-land-fires,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,16686.611932166954,,annual,,
ARM,forestry-and-land-use,forest-land-fires,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,52788.06243652815,,annual,,
ARM,forestry-and-land-use,forest-land-fires,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,53563.94845553592,,annual,,
ARM,forestry-and-land-use,forest-land-fires,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,36119.01,,annual,,
ARM,forestry-and-land-use,forest-land-fires,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,78267.649973,,annual,,
ARM,forestry-and-land-use,forest-land-fires,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,34098.93565,,annual,,
ARM,forestry-and-land-use,forest-land-fires,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ARM,forestry-and-land-use,forest-land-fires,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,forestry-and-land-use,forest-land-fires,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,forestry-and-land-use,forest-land-fires,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,0.0,,annual,,
ASM,forestry-and-land-use,forest-land-fires,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,0.0,,annual,,
